Id;Title;Year;Budget;UnivName;UnivZIP;State
1601183;A Regional Partnership to Improve Access to and Academic Quality of Technician Education for the Incumbent Worker;2016;899072.0;U of Kentucky Madisonville Community College;424319185;KY
1601184;Research in Ring Theory and Noncommutative Algebraic Geometry;2016;76376.0;University of California-Santa Barbara;931062050;CA
1601186;DISSERTATION RESEARCH: Mechanisms of reproductive isolation along the speciation continuum: from micro- to macro-evolutionary scales;2016;19157.0;University of California-Davis;956186134;CA
1601191;DISSERTATION RESEARCH: Effects of experimental shifts in soil moisture and flowering phenology on plant-pollinator interactions;2016;16349.0;University of California-Irvine;926173213;CA
1601205;Macaulay2 Development Workshop, 2016;2016;30400.0;University of Utah;841128930;UT
1601208;DISSERTATION RESEARCH: Phylogenomics and Biogeography of Early-diverging Laniatores (Opiliones) using Ultraconserved Elements;2016;19500.0;San Diego State University Foundation;921822190;CA
1601210;DISSERTATION RESEARCH: Mechanisms of microbe-mediated plant species coexistence across spatial and temporal scales;2016;19630.0;University of New Mexico;871310001;NM
1601211;Moduli Problems in Algebraic Geometry, their Structures, and their Applications;2016;83000.0;Stanford University;943041212;CA
1601216;Composites Recycling Technician Education Program;2016;194076.0;Skagit Valley College;982735821;WA
1601219;DISSERTATION RESEARCH: The effects of climate-driven phenological shifts on plant-pollinator interactions and reproductive success;2016;18706.0;Montana State University;597172470;MT
1601220;CT Pathways to Innovation in Advanced Manufacturing Technologies and Entrepreneurship;2016;899707.0;Education Connection;067590909;CT
1601221;Alamo Institute for Materials (micro, bio, nano) - Technology (AIM-TEC);2016;763417.0;Northwest Vista College;782514217;TX
1601222;The Virtual Industrial Process Simulator Laboratory Project;2016;198865.0;Augusta Technical College;309063375;GA
1601224;DISSERTATION RESEARCH: The nexus of observation and modeling of methane emissions from inland water bodies;2016;19065.0;Ohio State University;432101016;OH
1601229;Invariant Theory, Tensors, and Applications;2016;62800.0;University of Michigan Ann Arbor;481091274;MI
1601237;2016 Plant Volatiles GRC/GRS: Diversity of Targets, Effects and Applications of Plant Volatiles (Jan 31 to Feb 5, 2016, Ventura, CA);2016;10000.0;Gordon Research Conferences;028921502;RI
1601239;Southeastern Number Theory Meetings;2016;14695.0;University of South Carolina at Columbia;292080001;SC
1601242;DISSERTATION RESEARCH: Transposable element dynamics across reproductive modes and ploidy levels in natural populations;2016;19825.0;University of Iowa;522421320;IA
1601245;2016 Gordon Research Conference in Industrial Ecology: Opportunities for the Critical Decade - Decoupling Well-Being from Environmental Pressures and Impacts;2016;30000.0;Gordon Research Conferences;028921502;RI
1601248;DISSERTATION RESEARCH: Do interactions between ultraviolet radiation and dissolved organic carbon modulate disease in aquatic systems?;2016;20150.0;University of Michigan Ann Arbor;481091274;MI
1601251;DISSERTATION RESEARCH:   Evolution of polyploidy and storage roots in sweet potato and its wild relatives;2016;19089.0;University of Georgia Research Foundation Inc;306021589;GA
1601259;DISSERTATION RESEARCH:   Evolutionary Consequences of Pathogen Strain Competition in an Emerging Fungal Disease;2016;20150.0;University of Michigan Ann Arbor;481091274;MI
1601260;DISSERTATION RESEARCH: Can the degree of mimicry predict levels of genetic structure among populations? A test using mimetic ground beetles;2016;20150.0;University of Michigan Ann Arbor;481091274;MI
1601261;Training Tomorrow's Technicians in Lightweight Materials: Properties, Optimization, and Manufacturing Processes;2016;200000.0;Washtenaw Community College;481054800;MI
1601269;DISSERTATION RESEARCH: Abundance, trophic transfer, and cross-ecosystem movement of multiple cyanotoxins in arctic lakes;2016;18891.0;Dartmouth College;037551404;NH
1601270;Frontiers in Mathematical Physics;2016;35000.0;Virginia Polytechnic Institute and State University;240610001;VA
1601271;Dissertation Research: Linking climate dynamics and historical demographic in South American forest lizards;2016;12590.0;CUNY Graduate School University Center;100164309;NY
1601273;DISSERTATION RESEARCH: Carnivorous plant syndromes: The role of volatile emissions in the diversification of the pitcher plant genus Sarracenia;2016;18840.0;University of Georgia Research Foundation Inc;306021589;GA
1601275;Digitization TCN: Collaborative Research: Lepidoptera of North America Network: Documenting Diversity in the Largest Clade of Herbivores;2016;45681.0;Denver Museum of Nature and Science;802055732;CO
1601279;DISSERTATION RESEARCH:  Scaling Plant Physiology to Ecosystem Ecology: Assessing the Role of the Plant Community in Preventing Nitrogen Losses Following Fire;2016;20403.0;Duke University;277054010;NC
1601280;DISSERTATION RESEARCH: Untangling history and ecology to reconstruct the assembly of an iconic avifauna;2016;20127.0;American Museum Natural History;100245192;NY
1601281;DISSERTATION RESEARCH: A genomic and experimental characterization of local adaptation;2016;18529.0;University of Chicago;606375418;IL
1601282;Representations of Reductive Groups and Étale Hessenberg Varieties;2016;132000.0;Massachusetts Institute of Technology;021394301;MA
1601288;2016 Gordon Research Conference on Environmental Sciences: Water: Opportunities for Aquatic Sciences to Impact a Changing World;2016;40000.0;Gordon Research Conferences;028921502;RI
1601289;Multiple Dirichlet Series and Number Theory;2016;55685.0;CUNY City College;100319101;NY
1601292;Midwestern Young Researchers Conference on Commutative Algebra and Related Disciplines: KUMUNU Jr 2016;2016;7800.0;University of Nebraska-Lincoln;685031435;NE
1601295;Western US Center Planning Grant for Lasers+Photonics Education;2016;69425.0;Irvine Valley College;926180301;CA
1601296;DISSERTATION RESEARCH: The conflicting effects of gene flow in a geographic mosaic of predator-prey coevolution;2016;19979.0;University of Virginia Main Campus;229044195;VA
1601299;DISSERTATION RESEARCH:   Assessing Homology of Hoofed Mammal Cranial Appendages with 3D Morphometrics and Next-Generation Transcriptomics;2016;19348.0;American Museum Natural History;100245192;NY
1601303;Convex Bodies, Algebraic Geometry, and Symplectic Geometry;2016;160001.0;University of Pittsburgh;152132303;PA
1601306;Maass Forms in Algebra, Arithmetic Geometry, Combinatorics, Representation Theory, and String Theory;2016;111861.0;Emory University;303224250;GA
1601315;DISSERTATION RESEARCH: Comparative ontogeny: dinosaur growth, development, and intraspecific variation;2016;15631.0;American Museum Natural History;100245192;NY
1601323;DISSERTATION RESEARCH: Chromosome inversions and reproductive isolation in an avian hybrid zone;2016;19693.0;University of Chicago;606375418;IL
1601329;DISSERTATION RESEARCH: Selenium hyperaccumulation in a rapid radiation of legumes;2016;19811.0;University of Arizona;857194824;AZ
1601333;DISSERTATION RESEARCH: Genetic Mechanisms of Spatial Eco-Evolutionary Dynamics in Range Expansions;2016;19926.0;University of Colorado at Boulder;803031058;CO
1601335;DISSERTATION RESEARCH: Using Covariance to Test Hypotheses about the Function and Underlying Genetic Control of Multi-component Signals;2016;19469.0;University of Kansas Center for Research Inc;660457568;KS
1601340;PFI:AIR - TT:  Wireless implantable pressure sensor for continuous monitoring of chronic disorders;2016;206000.0;University of Southern California;900890001;CA
1601349;DISSERTATION RESEARCH:   Quantifying the Strength of Spatial Coexistence Mechanisms in Experimental Metacommunities;2016;19266.0;University of Colorado at Boulder;803031058;CO
1601350;RUI: Hurwitz Number Fields;2016;94830.0;University of Minnesota Morris;562672132;MN
1601353;DISSERTATION RESEARCH:   Scaling within host interactions to epidemic patterns;2016;20102.0;William Marsh Rice University;770051827;TX
1601355;DISSERTATION RESEARCH: Linking functional evolution of odorant receptors to behavioral adaptations and the emergence of herbivory in drosophilids;2016;19849.0;University of Arizona;857194824;AZ
1601356;DISSERTATION RESEARCH:   The phylogenetic consequences of mutualism and antagonism in the coevolution of palm flower weevils.;2016;21970.0;Harvard University;021385366;MA
1601359;Creating a High School Pipeline for the Next Generation of Manufacturing Employees;2016;458319.0;U of Kentucky Madisonville Community College;424319185;KY
1601369;Digitization TCN: Collaborative Research: Lepidoptera of North America Network: Documenting Diversity in the Largest Clade of Herbivores;2016;285202.0;University of Florida;326112002;FL
1601370;DISSERTATION RESEARCH: Reinforcement of isolation between parasite host races;2016;19955.0;University of Arizona;857194824;AZ
